Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Test cases,OOSP-77,10108,Verify Deleting a Filter,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:37 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-76,10107,Verify Editing an Existing Filter,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:37 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-75,10106,Verify Adding a Filter Without an Existing Filter Group,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:37 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-74,10105,Verify Adding a New Filter (With Existing Filter Group),Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:36 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-73,10104,Verify Navigation to Filters Page,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:35 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-72,10103,"Verify Frequency Options (Daily, Weekly, Monthly)",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:29 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-71,10102,Verify Editing an Existing Subscription Plan,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:29 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-70,10101,Verify Copying an Existing Subscription Plan,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:28 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-69,10100,Verify Adding a New Subscription Plan,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:28 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-68,10099,Verify Navigation to Subscription Plans Page,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:27 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-65,10096,Verify filter,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:12 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-64,10095,Verify Product Image Upload,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:09 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-63,10094,Verify Filtering by Status,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:08 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-62,10093,Verify Product Filtering,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:08 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-61,10092,Verify Deleting a Product,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:07 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-60,10091,Verify Editing Existing Product,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:07 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-59,10090,Verify Mandatory Field Validation,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:06 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-58,10089,Verify Adding a New Product,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:06 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-57,10088,Verify Product List Display,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:05 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-56,10087,Verify Navigation to Products Page,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:05 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-55,10086,Verify Category Sort Order,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Low,Pass,Done,06/Nov/25 5:02 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-54,10085,Verify Image Upload for Category,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:02 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-53,10084,Verify Category Hierarchy,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Low,Pass,Done,06/Nov/25 5:01 AM,09/Nov/25 3:50 PM,
Test cases,OOSP-52,10083,Verify Pagination,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:01 AM,09/Nov/25 3:49 PM,
Test cases,OOSP-51,10082,Verify Filtering by Status,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 5:00 AM,09/Nov/25 3:49 PM,
Test cases,OOSP-50,10081,Verify Filtering by Category Name,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 5:00 AM,09/Nov/25 3:49 PM,
Test cases,OOSP-49,10080,Verify Deleting a Category,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:59 AM,09/Nov/25 3:49 PM,
Test cases,OOSP-48,10079,Verify Editing an Existing Category,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:58 AM,09/Nov/25 3:49 PM,
